,Nonfunctional_Feature,Origin-Num_Cat,Origin-Cat,E100-Num_Ad_Cat,E100-Ad_Cat,E100-Num_NotIn_Origin
0,hot,4,[0.         0.01980198 0.00990099 0.02970297],1,[0.],0
1,num_failed_logins,1,[0.],1,[0.],0
2,logged_in,2,[0. 1.],1,[0.],0
3,num_compromised,2,[0.         0.00125628],1,[0.],0
4,root_shell,1,[0.],1,[0.],0
5,su_attempted,1,[0.],1,[0.],0
6,num_root,1,[0.],1,[0.],0
7,num_file_creations,1,[0.],1,[0.],0
8,num_shells,1,[0.],1,[0.],0
9,num_access_files,1,[0.],1,[0.],0
10,num_outbound_cmds,1,[0.],1,[0.],0
11,is_host_login,1,[0.],1,[0.],0
12,is_guest_login,1,[0.],1,[0.],0
14,dst_host_count,154,"[1.         0.44705882 0.17647059 0.61960784 0.25882353 0.7372549
 0.81176471 0.79215686 0.56862745 0.34901961 0.68627451 0.34509804
 0.32156863 0.96078431 0.77647059 0.64705882 0.00392157 0.68235294
 0.80392157 0.93333333 0.14901961 0.91372549 0.87843137 0.96862745
 0.42352941 0.25490196 0.00784314 0.44313725 0.12156863 0.5372549
 0.07058824 0.94509804 0.69411765 0.65882353 0.78431373 0.08235294
 0.91764706 0.37254902 0.98823529 0.18039216 0.1372549  0.54117647
 0.92941176 0.65490196 0.48627451 0.01176471 0.05490196 0.63529412
 0.77254902 0.22745098 0.26666667 0.9254902  0.23921569 0.95686275
 0.29803922 0.29019608 0.03137255 0.31764706 0.88235294 0.71372549
 0.61568627 0.90196078 0.83921569 0.69803922 0.09019608 0.9372549
 0.86666667 0.70196078 0.97254902 0.92156863 0.60392157 0.13333333
 0.4627451  0.38431373 0.02745098 0.85098039 0.10196078 0.16470588
 0.81568627 0.73333333 0.56078431 0.43529412 0.04705882 0.32941176
 0.4        0.63137255 0.25098039 0.99215686 0.75686275 0.09803922
 0.50980392 0.35294118 0.29411765 0.8627451  0.39607843 0.76470588
 0.10980392 0.7254902  0.33333333 0.72156863 0.35686275 0.89803922
 0.49019608 0.27843137 0.17254902 0.99607843 0.30588235 0.8745098
 0.2        0.4745098  0.98431373 0.5254902  0.89411765 0.18823529
 0.97647059 0.23137255 0.94117647 0.01568627 0.94901961 0.90980392
 0.51372549 0.76078431 0.40784314 0.50196078 0.36078431 0.56470588
 0.96470588 0.8        0.09411765 0.85490196 0.58039216 0.45098039
 0.57647059 0.87058824 0.60784314 0.01960784 0.82352941 0.88627451
 0.64313725 0.21176471 0.36862745 0.41176471 0.95294118 0.69019608
 0.34117647 0.22352941 0.53333333 0.52941176 0.11372549 0.45882353
 0.90588235 0.98039216 0.2745098  0.15686275]",253,"[1.         0.9479824  0.9269169  0.76668614 0.9730975  0.89019734
 0.90475285 0.82179797 0.9367302  0.7523821  0.7518665  0.98551106
 0.9762456  0.7909247  0.9105275  0.83719385 0.8662846  0.96172076
 0.9512957  0.7507371  0.9954083  0.98010725 0.7716601  0.981217
 0.77095854 0.9845866  0.9881215  0.86329085 0.965041   0.99790406
 0.9041348  0.7384964  0.97921294 0.76699126 0.9450916  0.9810709
 0.91824394 0.7681845  0.93294895 0.8074915  0.7719654  0.9716118
 0.9895321  0.8069364  0.9964043  0.7630239  0.98055226 0.7366653
 0.9551101  0.7892428  0.9807572  0.88213474 0.7824695  0.9433677
 0.9683966  0.7664998  0.7907186  0.7898725  0.9662516  0.97799623
 0.98208815 0.98320735 0.9760076  0.97478247 0.7386827  0.9962971
 0.9185496  0.90224946 0.98376095 0.79835063 0.6324484  0.9873022
 0.75997007 0.9332542  0.97363377 0.98290217 0.84532255 0.8623908
 0.7859451  0.9593511  0.974217   0.9784577  0.9038304  0.9874568
 0.6845926  0.94704765 0.9691617  0.7221463  0.819116   0.7718194
 0.82224506 0.78625077 0.9581808  0.75085604 0.8921877  0.80451596
 0.92947316 0.97907233 0.82454085 0.9820374  0.9597375  0.8552685
 0.8818296  0.9667118  0.94534117 0.98993397 0.7383775  0.73687875
 0.76119274 0.9978231  0.6403074  0.904756   0.97375774 0.9638461
 0.92732567 0.99530363 0.76912785 0.90761924 0.76466876 0.7669913
 0.9757022  0.8383274  0.98402846 0.908232   0.9781522  0.9869969
 0.9957303  0.7401412  0.98962533 0.9845469  0.780028   0.92462134
 0.78972644 0.9515941  0.58357227 0.78411424 0.85557383 0.91341174
 0.9827029  0.84720623 0.7712641  0.9719131  0.8698272  0.9766782
 0.98029697 0.43796873 0.7365737  0.93288225 0.97130656 0.98653316
 0.7838088  0.99205065 0.826407   0.990682   0.77260363 0.87641746
 0.9627758  0.9938872  0.81452835 0.97798926 0.96767896 0.9841521
 0.880472   0.9757005  0.739955   0.7704671  0.824886   0.98605645
 0.99434614 0.9933828  0.96885645 0.7688226  0.83260316 0.95701534
 0.79415816 0.80295986 0.9782233  0.9463203  0.764855   0.9872366
 0.9262222  0.93071663 0.7402085  0.5549045  0.50898564 0.85368705
 0.9918277  0.7384047  0.9696173  0.9834554  0.57191086 0.9800481
 0.7880816  0.98174417 0.9013439  0.7771763  0.9643063  0.9786124
 0.77227074 0.8500895  0.97723234 0.80187505 0.9953749  0.67855275
 0.8449105  0.74002236 0.9752424  0.9821538  0.9577355  0.76516026
 0.9078651  0.9699738  0.97221833 0.78033316 0.8549232  0.9642028
 0.90697396 0.9911281  0.58950186 0.7536643  0.8879019  0.93715423
 0.8335148  0.9953729  0.9644606  0.9306274  0.9780815  0.9002097
 0.97032064 0.56320465 0.89154166 0.64943665 0.92095137 0.93703556
 0.98428524 0.7883868  0.9476947  0.8979141  0.9863236  0.970713
 0.43896097 0.9776845  0.98627245 0.94505715 0.9975989  0.7383103
 0.96614134 0.81223273 0.8655861  0.9471571  0.8718173  0.9657917
 0.75523114]",252
15,dst_host_srv_count,255,"[0.89411765 1.         0.07058824 0.08235294 0.24705882 0.59215686
 0.25098039 0.99215686 0.03921569 0.06666667 0.99607843 0.04313725
 0.03529412 0.03137255 0.04705882 0.02745098 0.45490196 0.60784314
 0.10980392 0.90196078 0.02352941 0.01176471 0.05882353 0.01960784
 0.69803922 0.05098039 0.20392157 0.94901961 0.92941176 0.0627451
 0.4627451  0.0745098  0.25490196 0.07843137 0.96078431 0.00392157
 0.98431373 0.23529412 0.63921569 0.01568627 0.26666667 0.95686275
 0.32941176 0.45882353 0.79215686 0.28627451 0.81176471 0.85098039
 0.05490196 0.31764706 0.21176471 0.37647059 0.23137255 0.67843137
 0.48235294 0.35686275 0.43529412 0.42745098 0.90588235 0.21960784
 0.00784314 0.56078431 0.23921569 0.54901961 0.91764706 0.76470588
 0.70980392 0.95294118 0.4        0.39607843 0.11372549 0.89803922
 0.76862745 0.42352941 0.22352941 0.24313725 0.47058824 0.60392157
 0.57254902 0.65098039 0.1254902  0.34509804 0.36862745 0.78823529
 0.88627451 0.55294118 0.84705882 0.41568627 0.49803922 0.15294118
 0.55686275 0.92156863 0.97254902 0.73333333 0.71764706 0.83137255
 0.59607843 0.27843137 0.49019608 0.91372549 0.62745098 0.96470588
 0.41176471 0.12941176 0.29019608 0.94509804 0.87058824 0.43921569
 0.43137255 0.52156863 0.88235294 0.48627451 0.33333333 0.64705882
 0.2627451  0.70196078 0.9372549  0.5372549  0.36470588 0.29411765
 0.19607843 0.83529412 0.97647059 0.50980392 0.17647059 0.96862745
 0.6627451  0.52941176 0.22745098 0.98823529 0.14509804 0.1372549
 0.64313725 0.11764706 0.10196078 0.78039216 0.34901961 0.19215686
 0.93333333 0.53333333 0.85882353 0.78431373 0.8        0.80784314
 0.50196078 0.50588235 0.12156863 0.16470588 0.29803922 0.65882353
 0.66666667 0.68235294 0.54117647 0.41960784 0.7372549  0.74901961
 0.82745098 0.31372549 0.71372549 0.90980392 0.16862745 0.68627451
 0.08627451 0.94117647 0.2745098  0.76078431 0.98039216 0.85490196
 0.3254902  0.6        0.44705882 0.25882353 0.58823529 0.45098039
 0.74117647 0.09803922 0.39215686 0.63137255 0.9254902  0.81568627
 0.62352941 0.51764706 0.7254902  0.87843137 0.84313725 0.69411765
 0.35294118 0.81960784 0.63529412 0.8627451  0.56470588 0.2
 0.72941176 0.34117647 0.27058824 0.38823529 0.37254902 0.36078431
 0.18431373 0.5254902  0.89019608 0.77254902 0.17254902 0.32156863
 0.21568627 0.86666667 0.49411765 0.30196078 0.30980392 0.18823529
 0.40784314 0.70588235 0.38431373 0.61568627 0.09019608 0.57647059
 0.16078431 0.20784314 0.58431373 0.83921569 0.61176471 0.3372549
 0.40392157 0.75294118 0.13333333 0.14117647 0.69019608 0.54509804
 0.4745098  0.6745098  0.80392157 0.15686275 0.56862745 0.79607843
 0.8745098  0.61960784 0.28235294 0.44313725 0.38039216 0.58039216
 0.47843137 0.72156863 0.09411765 0.10588235 0.30588235 0.51372549
 0.82352941 0.14901961 0.18039216 0.75686275 0.46666667 0.74509804
 0.67058824 0.65490196 0.77647059]",145,"[1.         0.99804336 0.8727487  0.97556883 0.90907633 0.8599471
 0.8588744  0.864901   0.9917744  0.93373513 0.94017476 0.98428416
 0.85889626 0.99902517 0.87896425 0.87737316 0.9543243  0.9885637
 0.9390411  0.84682333 0.8731884  0.9795523  0.9976482  0.87604094
 0.87269014 0.87940377 0.8718411  0.8690036  0.84495056 0.89012206
 0.9691764  0.88854796 0.970799   0.8719271  0.8991276  0.8955769
 0.847645   0.99808764 0.89128715 0.7722306  0.86625993 0.90668553
 0.9217953  0.8914717  0.77084345 0.7969155  0.8828267  0.8786615
 0.9213148  0.8919109  0.8585141  0.97713894 0.90755796 0.92332405
 0.9780591  0.948011   0.96873677 0.97178215 0.8472057  0.84689707
 0.86713094 0.77611834 0.98684174 0.9929924  0.9890195  0.87550044
 0.94077533 0.8700546  0.8731883  0.950143   0.9897653  0.8478741
 0.8857965  0.8948345  0.73225284 0.8895991  0.94845074 0.96713644
 0.9416185  0.8778126  0.9592838  0.61419886 0.8464575  0.9849832
 0.88915944 0.88968784 0.8784238  0.9346689  0.91544104 0.9993207
 0.9537749  0.84705234 0.8761119  0.9238429  0.8750608  0.9297168
 0.89915586 0.8842732  0.8708763  0.9578376  0.9918836  0.8490782
 0.712652   0.6841491  0.9137333  0.84833014 0.73595655 0.8937839
 0.99839735 0.93030673 0.856042   0.8798432  0.9278329  0.90502965
 0.7899463  0.93960917 0.84825635 0.9789389  0.8713156  0.96261233
 0.8862359  0.94749236 0.9395474  0.7387025  0.8428559  0.9735597
 0.9623407  0.94637865 0.95766234 0.98345184 0.99510723 0.71879256
 0.9474894  0.75922596 0.9615172  0.8942231  0.9781143  0.98144263
 0.6153319  0.8460014  0.9134316  0.95633364 0.99836874 0.9608537
 0.83778906]",144
16,dst_host_same_srv_rate,101,"[0.89 1.   0.07 0.08 0.25 0.59 0.99 0.04 0.03 0.05 0.61 0.62 0.9  0.02
 0.01 0.06 0.7  0.2  0.95 0.93 0.46 0.98 0.96 0.   0.24 0.64 0.27 0.41
 0.29 0.81 0.85 0.56 0.21 0.38 0.23 0.68 0.48 0.63 0.43 0.91 0.22 0.55
 0.79 0.92 0.76 0.74 0.4  0.77 0.42 0.47 0.6  0.57 0.65 0.13 0.35 0.37
 0.69 0.5  0.15 0.97 0.72 0.83 0.28 0.49 0.87 0.44 0.52 0.88 0.33 0.94
 0.54 0.36 0.84 0.51 0.18 0.66 0.53 0.14 0.1  0.78 0.19 0.31 0.26 0.86
 0.45 0.11 0.12 0.16 0.3  0.67 0.75 0.71 0.17 0.09 0.32 0.39 0.82 0.73
 0.8  0.34 0.58]",39,"[1.         0.9854238  0.98405623 0.99552417 0.983991   0.96793675
 0.99756503 0.96546125 0.9689797  0.8657042  0.9938878  0.8682493
 0.90551186 0.98351204 0.968416   0.9679774  0.9950893  0.8660711
 0.9989977  0.96936965 0.8016778  0.63422453 0.96741366 0.9683267
 0.9708916  0.7736746  0.7367473  0.96988904 0.8126924  0.9846686
 0.88643134 0.96984875 0.8142146  0.9695066  0.782667   0.8476091
 0.6357213  0.9668939  0.95790553]",38
17,dst_host_diff_srv_rate,93,"[0.02 0.   0.07 0.03 0.01 0.08 0.06 0.09 0.05 0.04 0.1  0.15 0.13 0.14
 0.19 0.12 0.73 0.11 0.55 0.4  0.69 0.22 0.39 0.84 0.58 0.21 0.83 0.91
 0.37 0.46 0.52 0.44 0.66 1.   0.17 0.68 0.16 0.76 0.28 0.33 0.45 0.43
 0.78 0.77 0.18 0.74 0.8  0.41 0.47 0.6  0.42 0.9  0.89 0.26 0.71 0.29
 0.49 0.86 0.64 0.3  0.53 0.75 0.25 0.56 0.61 0.24 0.35 0.67 0.65 0.62
 0.57 0.72 0.7  0.38 0.34 0.51 0.27 0.85 0.81 0.82 0.36 0.31 0.87 0.59
 0.96 0.23 0.63 0.32 0.48 0.2  0.5  0.79 0.93]",1,[0.],0
18,dst_host_same_src_port_rate,78,"[0.   0.09 0.01 1.   0.62 0.98 0.02 0.41 0.24 0.79 0.13 0.16 0.99 0.83
 0.03 0.05 0.95 0.5  0.14 0.97 0.1  0.06 0.31 0.96 0.54 0.42 0.29 0.48
 0.6  0.9  0.75 0.07 0.38 0.91 0.67 0.12 0.89 0.36 0.77 0.26 0.72 0.92
 0.51 0.93 0.49 0.4  0.04 0.94 0.43 0.33 0.34 0.88 0.61 0.58 0.69 0.73
 0.87 0.32 0.59 0.64 0.18 0.22 0.52 0.86 0.11 0.25 0.82 0.47 0.2  0.55
 0.56 0.27 0.8  0.7  0.71 0.44 0.23 0.76]",1,[0.],0
19,dst_host_srv_diff_host_rate,18,"[0.   0.02 0.52 0.03 0.56 0.57 0.51 0.14 0.53 1.   0.54 0.01 0.36 0.22
 0.67 0.6  0.55 0.17]",117,"[0.00000000e+00 1.03570520e-03 4.36534000e-03 1.20602550e-03
 3.35253780e-03 3.74919180e-03 1.29858400e-02 2.56477300e-03
 5.60845430e-03 3.40248640e-03 5.11725250e-03 9.06536000e-03
 8.52443300e-03 5.93444700e-03 9.02935860e-04 1.34044140e-02
 1.36945695e-02 2.22493700e-03 7.33089450e-03 1.86134870e-03
 6.34740300e-03 7.08848240e-05 4.44309400e-03 1.39831010e-03
 5.57185700e-03 1.66495140e-03 2.89529560e-05 1.23652965e-02
 5.62116500e-04 2.37046180e-03 6.90653900e-04 7.17981160e-03
 4.50213250e-03 8.57417300e-03 4.29600480e-04 8.92852250e-03
 1.18188560e-03 3.26280300e-03 2.15588500e-03 4.98874500e-03
 6.84388000e-03 5.74129800e-03 3.02837940e-02 2.82076970e-02
 1.16676840e-02 3.63247100e-03 5.25270400e-03 2.00949600e-03
 5.70450700e-03 5.43080270e-03 8.30481900e-03 2.27394700e-03
 6.58266250e-03 9.45016740e-04 1.28105730e-02 1.63735450e-03
 3.57463960e-04 8.73765350e-03 1.81108710e-03 9.02786850e-04
 5.88449840e-03 5.47198950e-03 1.83943660e-02 3.38681040e-03
 3.94956770e-02 5.56360200e-03 1.02923070e-02 2.90815530e-03
 1.76385050e-04 2.04074380e-03 4.01480500e-03 6.24698400e-03
 4.39748170e-04 4.90263100e-04 8.44141800e-03 7.82187300e-03
 6.09158000e-03 4.96444100e-03 1.44842270e-03 2.28871400e-03
 1.79782510e-03 6.18088250e-03 5.29181960e-03 1.98029130e-02
 2.06660780e-02 6.06603900e-03 5.15078000e-03 1.21483800e-02
 7.95070800e-03 1.35017930e-03 3.87813150e-03 1.04175210e-02
 1.25249030e-02 6.22425970e-03 1.72470210e-02 2.77163090e-03
 5.65461800e-03 4.49793040e-03 1.98985640e-03 1.04488430e-03
 7.19814000e-03 1.31599600e-03 9.13132700e-03 2.87987300e-03
 1.65357140e-02 1.16398190e-02 6.71531260e-03 6.53216240e-03
 4.63446970e-03 5.12830900e-03 1.96352600e-04 7.35896830e-03
 1.91272500e-02 2.53175200e-02 3.90547960e-02 6.29732000e-03
 1.53035670e-02]",116
20,dst_host_serror_rate,97,"[0.33 0.04 0.   0.98 0.31 0.01 0.6  0.02 1.   0.57 0.64 0.55 0.44 0.78
 0.77 0.18 0.34 0.83 0.99 0.16 0.5  0.62 0.28 0.14 0.61 0.05 0.15 0.47
 0.87 0.58 0.25 0.09 0.27 0.45 0.12 0.7  0.1  0.56 0.3  0.81 0.13 0.79
 0.35 0.17 0.46 0.65 0.82 0.89 0.29 0.2  0.53 0.49 0.73 0.38 0.11 0.97
 0.24 0.37 0.95 0.51 0.32 0.23 0.07 0.06 0.86 0.63 0.03 0.08 0.71 0.19
 0.75 0.43 0.4  0.39 0.52 0.76 0.59 0.21 0.22 0.91 0.48 0.41 0.8  0.54
 0.85 0.69 0.26 0.68 0.84 0.67 0.42 0.66 0.96 0.36 0.74 0.88 0.72]",1,[0.],0
21,dst_host_srv_serror_rate,99,"[0.37 0.04 0.   1.   0.52 0.97 0.01 0.6  0.02 0.57 0.64 0.43 0.35 0.56
 0.78 0.83 0.19 0.34 0.61 0.59 0.89 0.74 0.14 0.05 0.45 0.92 0.25 0.09
 0.28 0.67 0.8  0.5  0.36 0.55 0.65 0.95 0.91 0.11 0.3  0.84 0.17 0.81
 0.51 0.72 0.46 0.63 0.82 0.94 0.39 0.4  0.18 0.48 0.29 0.69 0.98 0.76
 0.33 0.03 0.1  0.42 0.49 0.38 0.62 0.07 0.23 0.13 0.06 0.44 0.58 0.47
 0.15 0.41 0.2  0.75 0.73 0.77 0.21 0.26 0.71 0.27 0.9  0.32 0.08 0.31
 0.16 0.22 0.79 0.53 0.66 0.68 0.54 0.12 0.7  0.24 0.96 0.93 0.85 0.88
 0.87]",1,[0.],0
22,dst_host_rerror_rate,101,"[0.11 0.68 1.   0.   0.33 0.36 0.73 0.21 0.4  0.31 0.01 0.02 0.04 0.07
 0.18 0.69 0.52 0.23 0.56 0.35 0.65 0.49 0.54 0.7  0.05 0.15 0.38 0.26
 0.03 0.93 0.99 0.06 0.27 0.85 0.29 0.13 0.6  0.63 0.44 0.09 0.22 0.64
 0.37 0.48 0.41 0.58 0.19 0.95 0.98 0.55 0.32 0.72 0.67 0.42 0.2  0.1
 0.12 0.71 0.16 0.81 0.79 0.47 0.45 0.61 0.39 0.51 0.96 0.76 0.46 0.28
 0.94 0.17 0.14 0.97 0.3  0.75 0.83 0.91 0.88 0.9  0.82 0.34 0.87 0.43
 0.08 0.8  0.24 0.53 0.86 0.25 0.5  0.57 0.78 0.59 0.66 0.62 0.89 0.77
 0.84 0.92 0.74]",6027,[0.08621945 0.05816283 0.06029691 ... 0.08872999 0.09706058 0.11041273],6027
23,dst_host_srv_rerror_rate,91,"[0.06 0.68 1.   0.   0.09 0.34 0.36 0.73 0.21 0.4  0.32 0.33 0.01 0.02
 0.04 0.03 0.19 0.44 0.18 0.17 0.59 0.65 0.49 0.11 0.05 0.26 0.95 0.7
 0.41 0.15 0.69 0.27 0.07 0.29 0.57 0.6  0.64 0.54 0.39 0.13 0.48 0.43
 0.22 0.58 0.37 0.89 0.55 0.12 0.08 0.1  0.38 0.61 0.63 0.5  0.67 0.97
 0.9  0.23 0.51 0.28 0.75 0.94 0.2  0.31 0.3  0.71 0.46 0.8  0.24 0.42
 0.25 0.35 0.16 0.53 0.62 0.91 0.56 0.66 0.14 0.45 0.83 0.82 0.52 0.72
 0.47 0.88 0.93 0.74 0.96 0.92 0.98]",4487,[0.06202814 0.         0.00398171 ... 0.01910701 0.11609066 0.07139254],4486
